,id,price,ms,rooms,floor,lat,lon,air_conditioning,wardrobes,lift,exterior,garden,swimming_pool,terrace,storeroom,garage,district,subdistrict,share_loc,needs_renovating,good_condition,new_dev,pricems
39,36406049.0,203796.0,103,3.0,4,40.3687426,-3.6123583,0,0,1,1,1,1,1,0,1, Villa de Vallecas , Ensanche de Vallecas - La Gavia ,1,0,0,1,1978.60194175
40,36406048.0,201796.0,103,3.0,3,40.3687426,-3.6123583,0,0,1,1,1,1,1,0,1, Villa de Vallecas , Ensanche de Vallecas - La Gavia ,1,0,0,1,1959.18446602
41,35642424.0,795000.0,189,4.0,1,40.4337015,-3.682744,1,1,1,0,0,0,0,1,0, Salamanca , Castellana ,0,0,1,0,4206.34920635
42,452895.0,1800000.0,264,4.0,3,40.4285552,-3.721936,0,0,1,1,0,0,1,1,1, Moncloa , Arg\xfcelles ,0,0,1,0,6818.18181818
43,35757890.0,220000.0,133,3.0,2,40.39435,-3.62295,1,1,1,1,1,0,1,1,1, Vic\xe1lvaro , Valdebernardo - Valderribas ,1,0,1,0,1654.13533835
44,29785583.0,1800000.0,360,7.0,13,40.4425613,-3.7145898,1,1,1,1,1,0,1,1,1, Chamber\xed , Vallehermoso ,0,0,1,0,5000.0
45,26403269.0,235000.0,85,2.0,2,40.4692655,-3.7215167,0,1,1,1,1,0,0,1,0, Moncloa , Valdezarza ,1,0,1,0,2764.70588235
46,36374068.0,150000.0,70,2.0,Ground floor,40.37633,-3.76331,0,0,0,1,1,0,0,0,1, Latina , \xc1guilas ,0,0,1,0,2142.85714286
47,36265055.0,360000.0,89,2.0,2,40.4353724,-3.7096337,1,1,1,0,0,0,0,0,0, Chamber\xed , Arapiles ,0,0,1,0,4044.94382022
48,33446620.0,90000.0,71,3.0,3,40.3813095,-3.712692,0,1,0,1,0,0,0,0,1, Usera , Zof\xedo ,1,0,1,0,1267.6056338
49,1645176.0,845000.0,100,2.0,6,40.4287046,-3.6970342,0,1,1,1,0,0,1,0,0, Chamber\xed , Trafalgar ,1,0,1,0,8450.0
50,36193498.0,1350000.0,285,6.0,4,40.4688047,-3.7791304,1,1,1,1,1,1,1,0,1, Moncloa , Valdemar\xedn ,1,0,1,0,4736.84210526
51,30033147.0,2600000.0,218,5.0,Ground floor,40.44474,-3.68428,1,0,1,1,0,1,1,1,1, Chamart\xedn , El Viso ,0,0,1,0,11926.6055046
52,36104533.0,210000.0,123,1.0,Ground floor,40.4397584,-3.6182809,1,1,1,1,1,0,1,1,1, San Blas , Simancas ,1,0,1,0,1707.31707317
53,35705068.0,466100.0,120,3.0,5,40.4450387,-3.6976875,0,0,1,0,0,0,0,0,0, Chamber\xed , Nuevos Ministerios-R\xedos Rosas ,1,0,1,0,3884.16666667
54,36050902.0,985000.0,224,10.0,4,40.429058,-3.7193229,1,1,1,1,0,0,0,1,0, Moncloa , Arg\xfcelles ,0,0,1,0,4397.32142857
56,27627747.0,400000.0,120,4.0,4,40.4464416,-3.7129565,0,0,1,1,0,0,0,0,0, Moncloa , Ciudad Universitaria ,1,1,0,0,3333.33333333
58,36050905.0,990000.0,321,5.0,4,40.4290546,-3.7153933,0,0,1,1,0,0,1,1,0, Moncloa , Arg\xfcelles ,0,1,0,0,3084.11214953
59,33311030.0,850000.0,205,6.0,1,40.4288697,-3.6761559,0,0,0,1,0,0,1,0,0, Salamanca , Goya ,0,0,1,0,4146.34146341
60,36219876.0,81400.0,37,1.0,Ground floor,40.4017016,-3.6969769,0,0,0,0,0,0,0,0,0, Arganzuela , Palos de Moguer ,1,1,0,0,2200.0
61,36359281.0,249000.0,90,2.0,Ground floor,40.4690335,-3.6631557,1,0,1,1,0,0,0,0,0, Hortaleza , Ap\xf3stol Santiago ,1,0,1,0,2766.66666667
62,36185205.0,167500.0,72,2.0,1,40.4952112,-3.6934348,0,0,1,1,0,0,0,0,0, Fuencarral , Tres Olivos - Valverde ,0,0,1,0,2326.38888889
63,35285284.0,350000.0,110,3.0,1,40.46612,-3.72601,0,1,0,1,1,1,1,1,1, Moncloa , Ciudad Universitaria ,0,0,1,0,3181.81818182
64,35518069.0,148000.0,70,2.0,4,40.4390372,-3.6433431,1,0,0,1,0,0,1,0,0, Ciudad Lineal , Quintana ,0,0,1,0,2114.28571429
65,35783271.0,78000.0,80,3.0,3,40.3936265,-3.7371935,1,0,0,1,0,0,1,0,0, Carabanchel , San Isidro ,0,1,0,0,975.0
66,34857513.0,350000.0,77,1.0,2,40.3871378,-3.6888968,0,0,0,0,0,0,0,0,0, Arganzuela , Legazpi ,0,0,1,0,4545.45454545
67,35021831.0,149900.0,100,3.0,Ground floor,40.4397174,-3.642519,0,1,1,1,0,0,1,0,0, Ciudad Lineal , Quintana ,0,0,1,0,1499.0
68,35783276.0,150000.0,70,2.0,Ground floor,40.4380668,-3.6785005,0,1,1,1,0,0,0,0,0, Chamart\xedn , Prosperidad ,0,1,0,0,2142.85714286
69,36032371.0,127000.0,80,3.0,4,40.3781301,-3.7826859,1,1,0,1,0,0,1,0,0, Latina , \xc1guilas ,1,0,1,0,1587.5
70,26823271.0,123124.0,70,2.0,2,40.3811231,-3.7259491,1,1,0,1,0,0,0,0,0, Carabanchel , Abrantes ,1,0,1,0,1758.91428571
71,25612235.0,350000.0,116,3.0,2,40.4683668,-3.7008666,0,1,1,1,0,0,1,1,1, Tetu\xe1n , Valdeacederas ,1,0,1,0,3017.24137931
72,36000022.0,90177.0,49,2.0,Ground floor,40.4274972,-3.6529434,0,0,1,0,0,0,0,0,0, Ciudad Lineal , Ventas ,0,0,1,0,1840.34693878
73,34820652.0,1660000.0,477,5.0,4,40.4504839,-3.6917314,1,1,1,1,0,0,1,0,0, Chamart\xedn , El Viso ,0,0,1,0,3480.08385744
74,35910704.0,200000.0,89,3.0,3,40.4312537,-3.6450643,0,0,1,1,0,0,1,0,0, Ciudad Lineal , Pueblo Nuevo ,1,0,1,0,2247.19101124
75,35638644.0,170000.0,48,1.0,2,40.4669753,-3.7127137,1,1,1,1,1,1,0,0,0, Moncloa , Valdezarza ,0,0,1,0,3541.66666667
76,36123094.0,550000.0,157,3.0,6,40.4116008,-3.6643495,1,1,1,1,0,0,1,1,1, Retiro , Estrella ,0,0,1,0,3503.18471338
78,33897815.0,225000.0,75,2.0,Ground floor,40.4019077,-3.7017353,0,0,1,1,0,0,0,0,0, Arganzuela , Acacias ,0,0,1,0,3000.0
79,36177493.0,87424.0,68,3.0,3,40.3960717,-3.7186049,0,0,0,1,0,0,0,0,0, Carabanchel , Opa\xf1el ,1,0,1,0,1285.64705882
80,30926342.0,159000.0,81,3.0,6,40.4072621,-3.6359465,0,1,1,1,1,0,1,0,0, Moratalaz , Marroquina ,1,1,0,0,1962.96296296
81,33058209.0,180000.0,107,3.0,5,40.3557139,-3.702373,0,0,1,1,1,1,0,1,1, Villaverde , Los \xc1ngeles ,1,0,0,1,1682.24299065
82,33058208.0,180000.0,107,3.0,4,40.3557139,-3.702373,0,0,1,1,1,1,0,1,1, Villaverde , Los \xc1ngeles ,1,0,0,1,1682.24299065
83,2027390.0,85000.0,50,1.0,Ground floor,40.3851873,-3.7050693,1,1,0,0,0,0,0,0,0, Usera , Almendrales ,1,0,1,0,1700.0
84,36363594.0,100000.0,59,2.0,1,40.4025293,-3.7595435,0,0,1,1,0,0,0,0,0, Latina , Aluche ,0,0,1,0,1694.91525424
85,33058205.0,199000.0,115,3.0,Ground floor,40.3557139,-3.702373,0,0,1,1,1,1,0,1,1, Villaverde , Los \xc1ngeles ,1,0,0,1,1730.43478261
86,33058204.0,199000.0,116,3.0,Ground floor,40.3557139,-3.702373,0,0,1,1,1,1,0,1,1, Villaverde , Los \xc1ngeles ,1,0,0,1,1715.51724138
87,27749953.0,120750.0,73,3.0,2,40.3403382,-3.6915968,0,0,1,0,0,0,0,0,0, Villaverde , San Crist\xf3bal ,1,0,1,0,1654.10958904
88,36181581.0,118600.0,64,2.0,1,40.4105369,-3.7326322,0,0,0,0,0,0,0,0,0, Latina , Puerta del \xc1ngel ,0,0,0,0,1853.125
89,33603358.0,295000.0,105,3.0,2,40.4570426,-3.6584674,0,1,1,1,1,1,1,1,0, Ciudad Lineal , Colina ,1,0,1,0,2809.52380952
91,33058203.0,179000.0,110,3.0,5,40.3557139,-3.702373,0,0,1,1,1,1,0,1,1, Villaverde , Los \xc1ngeles ,1,0,0,1,1627.27272727
92,29389064.0,380000.0,125,5.0,4,40.4045133,-3.6756729,0,0,1,1,0,0,1,0,1, Retiro , Pac\xedfico ,0,1,0,0,3040.0
93,35138865.0,145000.0,67,2.0,Ground floor,40.4331336,-3.65567,0,0,0,0,0,0,0,0,0, Ciudad Lineal , Ventas ,0,0,1,0,2164.17910448
94,35079308.0,1050000.0,220,4.0,7,40.4725623,-3.7191354,1,1,1,1,1,1,0,1,1, Fuencarral , Pe\xf1agrande ,0,0,1,0,4772.72727273
95,35475040.0,1095000.0,200,4.0,2,40.4383242,-3.6947037,1,1,1,1,0,0,0,0,0, Chamber\xed , Nuevos Ministerios-R\xedos Rosas ,0,1,0,0,5475.0
96,31764565.0,400000.0,135,4.0,1,40.4797183,-3.6699572,0,1,1,1,1,1,1,0,0, Ciudad Lineal , Costillares ,1,0,1,0,2962.96296296
97,36247631.0,82500.0,60,2.0,Ground floor,40.4294312,-3.6305797,1,0,0,1,0,0,0,0,0, San Blas , Simancas ,1,0,1,0,1375.0
98,36109666.0,165000.0,90,3.0,3,40.38194,-3.65176,0,1,1,1,1,0,0,0,1, Puente de Vallecas , Palomeras Bajas ,0,0,1,0,1833.33333333
99,36101624.0,900000.0,233,5.0,Ground floor,40.4214856,-3.697312,0,0,1,1,0,0,0,0,0, Centro , Chueca-Justicia ,1,1,0,0,3862.66094421
100,34395293.0,110000.0,65,2.0,4,40.4028238,-3.6422519,0,1,0,1,0,0,1,0,0, Moratalaz , Vinateros ,0,1,0,0,1692.30769231
101,36109661.0,160000.0,43,1.0,Ground floor,40.4255352,-3.7098182,0,0,0,0,0,0,0,0,0, Centro , Malasa\xf1a-Universidad ,0,0,1,0,3720.93023256
102,34534816.0,398000.0,140,4.0,4,40.4471684,-3.6745806,0,1,1,1,0,0,1,1,0, Chamart\xedn , Ciudad Jard\xedn ,1,0,1,0,2842.85714286
103,36372652.0,250000.0,86,2.0,2,40.3941641,-3.7724284,1,0,1,1,0,0,0,0,1, Latina , Campamento ,1,0,1,0,2906.97674419
104,36270574.0,316400.0,132,4.0,6,40.3493467,-3.7037284,0,0,1,1,1,1,1,1,0, Villaverde , San Andr\xe9s ,1,0,0,1,2396.96969697
105,35855474.0,620000.0,109,5.0,2,40.4444608,-3.6839269,0,0,1,0,0,0,0,0,0, Chamart\xedn , El Viso ,0,1,0,0,5688.0733945
106,36270572.0,256300.0,110,3.0,6,40.3493467,-3.7037284,0,0,1,1,1,1,1,1,0, Villaverde , San Andr\xe9s ,1,0,0,1,2330.0
