InputID,TargetID,Distance
31870748.0,128,0.0124461369703
36043898.0,497,0.00986795675274
27330535.0,128,0.0126594351411
1655377.0,497,0.0110218504762
1927820.0,587,0.00644637597532
33689413.0,128,0.0136022176356
33057485.0,339,0.0127987384807
35004992.0,339,0.0133770783042
35684024.0,497,0.0103339105858
30166652.0,587,0.00808967278275
35483904.0,587,0.00900647311379
1766666.0,128,0.0127632286321
35967302.0,339,0.0127987384807
32392644.0,587,0.0107987526014
397041.0,497,0.0111858886653
32935180.0,587,0.00851800434186
34358487.0,587,0.0108841881041
34786727.0,587,0.00900647311379
36131838.0,201,0.00685918353475
36080690.0,405,0.00224151031666
440441.0,492,0.00346570725599
35739631.0,405,0.00444992550791
36114854.0,496,0.00656646819535
36056585.0,405,0.00292290079283
32623142.0,408,0.00563142834684
35741128.0,405,0.00365269779033
35681082.0,405,0.00141891032314
35654055.0,496,0.00523235469055
2084898.0,405,0.000403186746988
34043857.0,492,0.00419971740251
27890318.0,492,0.00297002555622
34591692.0,430,0.00304475911842
34452676.0,409,0.00381116472291
34361201.0,430,0.00387266724499
1608050.0,492,0.00310004631969
35475240.0,405,0.0046528743924
35544402.0,405,0.0017959246142
35573966.0,430,0.0040374787391
36115703.0,406,0.00075737262093
29389366.0,408,0.00161098935546
35594473.0,430,0.00229632823249
35813837.0,430,0.00186938228744
30338939.0,405,0.00456592398584
35970601.0,492,0.00213853680618
33801794.0,406,0.00598516316565
34101895.0,496,0.00656646819535
33260533.0,201,0.00727056960703
34536902.0,408,0.00276775506171
35218780.0,405,0.00444992550791
35198736.0,430,0.00132708164203
35428988.0,430,0.00390506320935
35898537.0,405,0.00292290079283
36026575.0,406,0.00496713036737
35363553.0,405,0.00156333649649
35475284.0,405,0.0046528743924
28750984.0,492,0.00273555758979
36090420.0,405,0.00444992550791
36133582.0,496,0.00196776296579
34661796.0,405,0.00106511364245
32876197.0,430,0.00638733055735
34559815.0,405,0.00292290079283
34648851.0,492,0.00196981561046
1903183.0,408,0.000706435505953
35797910.0,430,0.00276416877864
33285240.0,408,0.00076992095017
33234692.0,405,0.00103317421644
35787340.0,405,0.00474100172376
30674770.0,405,0.000577215627025
29270773.0,496,0.00272265805228
36058402.0,405,0.00188063652898
36130297.0,405,0.000826041266581
32792075.0,496,0.00196660408985
